"team1","team2","team1_score","team2_score","toss_winner","toss_choice","winner","margin","man_of_the_match","stadium","place","Home_Ground"
"Pune Warriors","Mumbai Indians",129,101,"Mumbai Indians","Field","Pune Warriors","28 runs","Steven Smith","Wankhede Stadium","Mumbai","Mumbai Indians"
"Rajasthan Royals","Punjab Kings",191,160,"Punjab Kings","Field","Rajasthan Royals","31 runs","Ajinkya Rahane","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Royal Challengers Bangalore","Delhi Capitals",157,137,"Delhi Capitals","Field","Royal Challengers Bangalore","20 runs","AB de Villiers","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Sunrisers Hyderabad",193,119,"Sunrisers Hyderabad","Field","Chennai Super Kings","74 runs","Ravindra Jadeja","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",164,142,"Kolkata Knight Riders","Field","Rajasthan Royals","22 runs","Brad Hodge","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Pune Warriors","Punjab Kings",166,144,"Pune Warriors","Bat","Pune Warriors","22 runs","Marlon Samuels","Maharashtra Cricket Association Stadium","Pune","Rising Pune Supergiants"
"Sunrisers Hyderabad","Mumbai Indians",138,142,"Sunrisers Hyderabad","Bat","Mumbai Indians","5 wickets","Rohit Sharma","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",165,123,"Royal Challengers Bangalore","Field","Kolkata Knight Riders","42 runs","Lakshmipathy Balaji","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Delhi Capitals",110,111,"Delhi Capitals","Field","Delhi Capitals","8 wickets","Morne Morkel","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Mumbai Indians","Rajasthan Royals",197,170,"Rajasthan Royals","Field","Mumbai Indians","27 runs","Kieron Pollard","Wankhede Stadium","Mumbai","Mumbai Indians"
"Royal Challengers Bangalore","Chennai Super Kings",205,208,"Royal Challengers Bangalore","Bat","Chennai Super Kings","5 wickets","Faf du Plessis","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Pune Warriors","Punjab Kings",115,116,"Punjab Kings","Field","Punjab Kings","7 wickets","Dimitri Mascarenhas","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",131,137,"Rajasthan Royals","Bat","Kolkata Knight Riders","5 wickets","Shakib Al Hasan","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Chennai Super Kings","Pune Warriors",155,156,"Chennai Super Kings","Bat","Pune Warriors","7 wickets","Jesse Ryder","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Punjab Kings","Kolkata Knight Riders",134,132,"Kolkata Knight Riders","Field","Punjab Kings","2 runs","Sunil Narine","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Rajasthan Royals","Royal Challengers Bangalore",195,136,"Rajasthan Royals","Bat","Rajasthan Royals","59 runs","Ajinkya Rahane","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Mumbai Indians","Delhi Capitals",92,93,"Delhi Capitals","Field","Delhi Capitals","7 wickets","Shahbaz Nadeem","Wankhede Stadium","Mumbai","Mumbai Indians"
"Sunrisers Hyderabad","Rajasthan Royals",196,197,"Sunrisers Hyderabad","Bat","Rajasthan Royals","5 wickets","Brad Hodge","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Pune Warriors","Royal Challengers Bangalore",182,186,"Pune Warriors","Bat","Royal Challengers Bangalore","6 wickets","Chris Gayle","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Punjab Kings","Kolkata Knight Riders",124,127,"Punjab Kings","Bat","Kolkata Knight Riders","8 wickets","Gautam Gambhir","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Sunrisers Hyderabad","Delhi Capitals",157,162,"Sunrisers Hyderabad","Bat","Delhi Capitals","5 wickets","Kevin Pietersen","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Chennai Super Kings","Pune Warriors",164,151,"Pune Warriors","Field","Chennai Super Kings","13 runs","Nuwan Kulasekara","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Punjab Kings","Royal Challengers Bangalore",163,166,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","5 wickets","Chris Gayle","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rajasthan Royals","Chennai Super Kings",146,147,"Rajasthan Royals","Bat","Chennai Super Kings","7 wickets","Faf du Plessis","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Pune Warriors","Delhi Capitals",192,172,"Delhi Capitals","Field","Pune Warriors","20 runs","Sourav Ganguly","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Mumbai Indians","Punjab Kings",163,164,"Mumbai Indians","Bat","Punjab Kings","6 wickets","Shaun Marsh","Wankhede Stadium","Mumbai","Mumbai Indians"
"Sunrisers Hyderabad","Kolkata Knight Riders",126,127,"Kolkata Knight Riders","Field","Kolkata Knight Riders","5 wickets","Brett Lee","Barabati Stadium","Cuttack","Neutral"
"Royal Challengers Bangalore","Rajasthan Royals",189,143,"Rajasthan Royals","Field","Royal Challengers Bangalore","46 runs","AB de Villiers","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Pune Warriors","Delhi Capitals",146,148,"Pune Warriors","Bat","Delhi Capitals","8 wickets","Virender Sehwag","Maharashtra Cricket Association Stadium","Pune","Rising Pune Supergiants"
