"team1","team2","team1_score","team2_score","toss_winner","toss_choice","winner","margin","man_of_the_match","stadium","place","Home_Ground"
"Chennai Super Kings","Kolkata Knight Riders",131,133,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Umesh Yadav","Wankhede Stadium","Mumbai","Neutral"
"Mumbai Indians","Delhi Capitals",177,179,"Delhi Capitals","Field","Delhi Capitals","4 wickets","Kuldeep Yadav","Brabourne Stadium","Mumbai","Neutral"
"Royal Challengers Bangalore","Punjab Kings",205,208,"Punjab Kings","Field","Punjab Kings","5 wickets","Odean Smith","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Lucknow Super Giants","Gujarat Titans",158,161,"Gujarat Titans","Field","Gujurat Titans","5 wickets","Mohammed Shami","Wankhede Stadium","Mumbai","Neutral"
"Rajasthan Royals","Sunrisers Hyderabad",210,149,"Sunrisers Hyderabad","Field","Rajasthan Royals","61 runs","Sanju Samson","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",128,132,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","3 wickets","Wanindu Hasaranga de Silva","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Lucknow Super Giants",210,211,"Lucknow Super Giants","Field","Chennai Super Kings","6 wickets","Evin Lewis","Brabourne Stadium","Mumbai","Neutral"
"Punjab Kings","Kolkata Knight Riders",137,141,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Umesh Yadav","Wankhede Stadium","Mumbai","Neutral"
"Rajasthan Royals","Mumbai Indians",193,170,"Mumbai Indians","Field","Rajasthan Royals","23 runs","Jos Buttler","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Gujarat Titans","Delhi Capitals",171,157,"Delhi Capitals","Field","Gujurat Titans","14 runs","Lockie Ferguson","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Punjab Kings","Chennai Super Kings",180,126,"Chennai Super Kings","Field","Punjab Kings","54 runs","Liam Livingstone","Brabourne Stadium","Mumbai","Neutral"
"Lucknow Super Giants","Sunrisers Hyderabad",169,157,"Sunrisers Hyderabad","Field","Lucknow Super Giants","12 runs","Avesh Khan","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Rajasthan Royals","Royal Challengers Bangalore",169,173,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","4 wickets","Dinesh Karthik","Wankhede Stadium","Mumbai","Neutral"
"Mumbai Indians","Kolkata Knight Riders",161,162,"Kolkata Knight Riders","Field","Kolkata Knight Riders","5 wickets","Pat Cummins","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Delhi Capitals","Lucknow Super Giants",149,155,"Lucknow Super Giants","Field","Lucknow Super Giants","6 wickets","Quinton de Kock","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Punjab Kings","Gujarat Titans",189,190,"Gujarat Titans","Field","Gujurat Titans","6 wickets","Shubman Gill","Brabourne Stadium","Mumbai","Neutral"
"Chennai Super Kings","Sunrisers Hyderabad",154,155,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","8 wickets","Abhishek Sharma","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Mumbai Indians","Royal Challengers Bangalore",151,152,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","7 wickets","Anuj Rawat","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Delhi Capitals","Kolkata Knight Riders",215,171,"Kolkata Knight Riders","Field","Delhi Capitals","44 runs","Kuldeep Yadav","Brabourne Stadium","Mumbai","Neutral"
"Rajasthan Royals","Lucknow Super Giants",165,162,"Lucknow Super Giants","Field","Rajasthan Royals","3 runs","Yuzvendra Chahal","Wankhede Stadium","Mumbai","Neutral"
"Gujarat Titans","Sunrisers Hyderabad",162,168,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","8 wickets","Kane Williamson","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",216,193,"Royal Challengers Bangalore","Field","Chennai Super Kings","23 runs","Shivam Dube","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Punjab Kings","Mumbai Indians",198,186,"Mumbai Indians","Field","Punjab Kings","12 runs","Mayank Agarwal","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Gujarat Titans","Rajasthan Royals",192,155,"Rajasthan Royals","Field","Gujurat Titans","37 runs","Hardik Pandya","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Kolkata Knight Riders","Sunrisers Hyderabad",175,176,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","7 wickets","Rahul Tripathi","Brabourne Stadium","Mumbai","Neutral"
"Lucknow Super Giants","Mumbai Indians",199,181,"Mumbai Indians","Field","Lucknow Super Giants","18 runs","KL Rahul","Brabourne Stadium","Mumbai","Neutral"
"Royal Challengers Bangalore","Delhi Capitals",189,173,"Delhi Capitals","Field","Royal Challengers Bangalore","16 runs","Dinesh Karthik","Wankhede Stadium","Mumbai","Neutral"
"Punjab Kings","Sunrisers Hyderabad",151,152,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","7 wickets","Umran Malik","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Gujarat Titans",169,170,"Gujarat Titans","Field","Gujurat Titans","3 wickets","David Miller","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",217,210,"Kolkata Knight Riders","Field","Rajasthan Royals","7 runs","Yuzvendra Chahal","Brabourne Stadium","Mumbai","Neutral"
"Royal Challengers Bangalore","Lucknow Super Giants",181,163,"Lucknow Super Giants","Field","Royal Challengers Bangalore","18 runs","Faf du Plessis","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Punjab Kings","Delhi Capitals",115,119,"Delhi Capitals","Field","Delhi Capitals","9 wickets","Kuldeep Yadav","Brabourne Stadium","Mumbai","Neutral"
"Mumbai Indians","Chennai Super Kings",155,156,"Chennai Super Kings","Field","Chennai Super Kings","3 wickets","Mukesh Choudhary","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Rajasthan Royals","Delhi Capitals",222,207,"Delhi Capitals","Field","Rajasthan Royals","15 runs","Jos Buttler","Wankhede Stadium","Mumbai","Neutral"
"Gujarat Titans","Kolkata Knight Riders",156,148,"Gujarat Titans","Bat","Gujurat Titans","8 runs","Rashid Khan","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Royal Challengers Bangalore","Sunrisers Hyderabad",68,72,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","9 wickets","Marco Jansen","Brabourne Stadium","Mumbai","Neutral"
"Lucknow Super Giants","Mumbai Indians",168,132,"Mumbai Indians","Field","Lucknow Super Giants","36 runs","KL Rahul","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Chennai Super Kings",187,176,"Chennai Super Kings","Field","Punjab Kings","11 runs","Shikhar Dhawan","Wankhede Stadium","Mumbai","Neutral"
"Rajasthan Royals","Royal Challengers Bangalore",144,115,"Royal Challengers Bangalore","Field","Rajasthan Royals","29 runs","Riyan Parag","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Sunrisers Hyderabad","Gujarat Titans",195,199,"Gujarat Titans","Field","Gujurat Titans","5 wickets","Umran Malik","Wankhede Stadium","Mumbai","Neutral"
"Kolkata Knight Riders","Delhi Capitals",146,150,"Delhi Capitals","Field","Delhi Capitals","4 wickets","Kuldeep Yadav","Wankhede Stadium","Mumbai","Neutral"
"Lucknow Super Giants","Punjab Kings",153,133,"Punjab Kings","Field","Lucknow Super Giants","20 runs","Krunal Pandya","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Royal Challengers Bangalore","Gujarat Titans",170,174,"Royal Challengers Bangalore","Bat","Gujurat Titans","6 wickets","Rahul Tewatia","Brabourne Stadium","Mumbai","Neutral"
"Rajasthan Royals","Mumbai Indians",158,161,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Suryakumar Yadav","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Lucknow Super Giants","Delhi Capitals",195,189,"Lucknow Super Giants","Bat","Lucknow Super Giants","6 runs","Mohsin Khan","Wankhede Stadium","Mumbai","Neutral"
"Chennai Super Kings","Sunrisers Hyderabad",202,189,"Sunrisers Hyderabad","Field","Chennai Super Kings","13 runs","Ruturaj Gaikwad","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",152,158,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Rinku Singh","Wankhede Stadium","Mumbai","Neutral"
"Gujarat Titans","Punjab Kings",143,145,"Gujarat Titans","Bat","Punjab Kings","8 wickets","Kagiso Rabada","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Royal Challengers Bangalore","Chennai Super Kings",173,160,"Chennai Super Kings","Field","Royal Challengers Bangalore","13 runs","Harshal Patel","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Delhi Capitals","Sunrisers Hyderabad",207,186,"Sunrisers Hyderabad","Field","Delhi Capitals","21 runs","David Warner","Brabourne Stadium","Mumbai","Neutral"
"Mumbai Indians","Gujarat Titans",177,172,"Gujarat Titans","Field","Mumbai Indians","5 runs","Tim David","Brabourne Stadium","Mumbai","Neutral"
"Punjab Kings","Rajasthan Royals",189,190,"Punjab Kings","Bat","Rajasthan Royals","6 wickets","Yashasvi Jaiswal","Wankhede Stadium","Mumbai","Neutral"
"Lucknow Super Giants","Kolkata Knight Riders",176,101,"Kolkata Knight Riders","Field","Lucknow Super Giants","75 runs","Avesh Khan","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Royal Challengers Bangalore","Sunrisers Hyderabad",192,125,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","67 runs","Wanindu Hasaranga de Silva","Wankhede Stadium","Mumbai","Neutral"
"Chennai Super Kings","Delhi Capitals",208,117,"Delhi Capitals","Field","Chennai Super Kings","91 runs","Devon Conway","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Kolkata Knight Riders","Mumbai Indians",165,113,"Mumbai Indians","Field","Kolkata Knight Riders","52 runs","Jasprit Bumrah","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Gujarat Titans","Lucknow Super Giants",144,82,"Gujarat Titans","Bat","Gujurat Titans","62 runs","Shubman Gill","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Rajasthan Royals","Delhi Capitals",160,161,"Delhi Capitals","Field","Delhi Capitals","8 wickets","Mitchell Marsh","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Mumbai Indians",97,103,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Daniel Sams","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Royal Challengers Bangalore",209,155,"Royal Challengers Bangalore","Field","Punjab Kings","54 runs","Jonny Bairstow","Brabourne Stadium","Mumbai","Neutral"
"Kolkata Knight Riders","Sunrisers Hyderabad",177,123,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","54 runs","Andre Russell","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Chennai Super Kings","Gujarat Titans",133,137,"Chennai Super Kings","Bat","Gujurat Titans","7 wickets","Wriddhiman Saha","Wankhede Stadium","Mumbai","Neutral"
"Rajasthan Royals","Lucknow Super Giants",178,154,"Rajasthan Royals","Bat","Rajasthan Royals","24 runs","Trent Boult","Brabourne Stadium","Mumbai","Neutral"
"Delhi Capitals","Punjab Kings",159,142,"Punjab Kings","Field","Delhi Capitals","17 runs","Shardul Thakur","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Sunrisers Hyderabad","Mumbai Indians",193,190,"Mumbai Indians","Field","Sunrisers Hyderabad","3 runs","Rahul Tripathi","Wankhede Stadium","Mumbai","Mumbai Indians"
"Lucknow Super Giants","Kolkata Knight Riders",210,208,"Lucknow Super Giants","Bat","Lucknow Super Giants","2 runs","Quinton de Kock","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Gujarat Titans","Royal Challengers Bangalore",168,170,"Gujarat Titans","Bat","Royal Challengers Bangalore","8 wickets","Virat Kohli","Wankhede Stadium","Mumbai","Neutral"
"Chennai Super Kings","Rajasthan Royals",150,151,"Chennai Super Kings","Bat","Rajasthan Royals","5 wickets","Ravichandran Ashwin","Brabourne Stadium","Mumbai","Neutral"
"Delhi Capitals","Mumbai Indians",159,160,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Jasprit Bumrah","Wankhede Stadium","Mumbai","Mumbai Indians"
"Sunrisers Hyderabad","Punjab Kings",157,160,"Sunrisers Hyderabad","Bat","Punjab Kings","5 wickets","Harpreet Brar","Wankhede Stadium","Mumbai","Neutral"
"Rajasthan Royals","Gujarat Titans",188,191,"Gujarat Titans","Field","Gujurat Titans","7 wickets","David Miller","Eden Gardens","Kolkata","Neutral"
"Royal Challengers Bangalore","Lucknow Super Giants",207,193,"Lucknow Super Giants","Field","Royal Challengers Bangalore","14 runs","Rajat Patidar","Eden Gardens","Kolkata","Neutral"
"Royal Challengers Bangalore","Rajasthan Royals",157,161,"Rajasthan Royals","Field","Rajasthan Royals","7 wickets","Jos Buttler","Narendra Modi Stadium","Ahmedabad","Neutral"
"Rajasthan Royals","Gujarat Titans",130,133,"Rajasthan Royals","Bat","Gujurat Titans","7 wickets","Hardik Pandya","Narendra Modi Stadium","Ahmedabad","Gujarat Titans"
"Mumbai Indians","Royal Challengers Bangalore",159,160,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","2 wickets","Harshal Patel","MA Chidambaram Stadium","Chennai","Neutral"
"Chennai Super Kings","Delhi Capitals",188,190,"Delhi Capitals","Field","Delhi Capitals","7 wickets","Shikhar Dhawan","Wankhede Stadium","Mumbai","Neutral"
"Kolkata Knight Riders","Sunrisers Hyderabad",187,177,"Sunrisers Hyderabad","Field","Kolkata Knight Riders","10 runs","Nitish Rana","MA Chidambaram Stadium","Chennai","Neutral"
"Punjab Kings","Rajasthan Royals",221,217,"Rajasthan Royals","Field","Punjab Kings","4 runs","Sanju Samson","Wankhede Stadium","Mumbai","Neutral"
"Mumbai Indians","Kolkata Knight Riders",152,142,"Kolkata Knight Riders","Field","Mumbai Indians","10 runs","Rahul Chahar","MA Chidambaram Stadium","Chennai","Neutral"
"Royal Challengers Bangalore","Sunrisers Hyderabad",149,143,"Sunrisers Hyderabad","Field","Royal Challengers Bangalore","6 runs","Glenn Maxwell","MA Chidambaram Stadium","Chennai","Neutral"
"Delhi Capitals","Rajasthan Royals",147,150,"Rajasthan Royals","Field","Rajasthan Royals","3 wickets","Jaydev Unadkat","Wankhede Stadium","Mumbai","Neutral"
"Punjab Kings","Chennai Super Kings",106,107,"Chennai Super Kings","Field","Chennai Super Kings","6 wickets","Deepak Chahar","Wankhede Stadium","Mumbai","Neutral"
"Mumbai Indians","Sunrisers Hyderabad",150,137,"Mumbai Indians","Bat","Mumbai Indians","13 runs","Kieron Pollard","MA Chidambaram Stadium","Chennai","Neutral"
"Royal Challengers Bangalore","Kolkata Knight Riders",204,166,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","38 runs","AB de Villiers","MA Chidambaram Stadium","Chennai","Neutral"
"Punjab Kings","Delhi Capitals",195,198,"Delhi Capitals","Field","Delhi Capitals","6 wickets","Shikhar Dhawan","Wankhede Stadium","Mumbai","Neutral"
"Chennai Super Kings","Rajasthan Royals",188,143,"Rajasthan Royals","Field","Chennai Super Kings","45 runs","Moeen Ali","Wankhede Stadium","Mumbai","Neutral"
"Mumbai Indians","Delhi Capitals",137,138,"Mumbai Indians","Bat","Delhi Capitals","6 wickets","Amit Mishra","MA Chidambaram Stadium","Chennai","Neutral"
"Punjab Kings","Sunrisers Hyderabad",120,121,"Punjab Kings","Bat","Sunrisers Hyderabad","9 wickets","Jonny Bairstow","MA Chidambaram Stadium","Chennai","Neutral"
"Chennai Super Kings","Kolkata Knight Riders",220,202,"Kolkata Knight Riders","Field","Chennai Super Kings","18 runs","Faf du Plessis","Wankhede Stadium","Mumbai","Neutral"
"Rajasthan Royals","Royal Challengers Bangalore",177,181,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","10 wickets","Devdutt Padikkal","Wankhede Stadium","Mumbai","Neutral"
"Mumbai Indians","Punjab Kings",131,132,"Punjab Kings","Field","Punjab Kings","9 wickets","KL Rahul","MA Chidambaram Stadium","Chennai","Neutral"
"Kolkata Knight Riders","Rajasthan Royals",133,134,"Rajasthan Royals","Field","Rajasthan Royals","6 wickets","Chris Morris","Wankhede Stadium","Mumbai","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",191,122,"Chennai Super Kings","Bat","Chennai Super Kings","69 runs","Ravindra Jadeja","Wankhede Stadium","Mumbai","Neutral"
"Delhi Capitals","Sunrisers Hyderabad",159,159,"Delhi Capitals","Bat","Tied","Tied","Prithvi Shaw","MA Chidambaram Stadium","Chennai","Neutral"
"Punjab Kings","Kolkata Knight Riders",123,126,"Kolkata Knight Riders","Field","Kolkata Knight Riders","5 wickets","Eoin Morgan","Narendra Modi Stadium","Ahmedabad","Neutral"
"Royal Challengers Bangalore","Delhi Capitals",171,170,"Delhi Capitals","Field","Royal Challengers Bangalore","1 run","AB de Villiers","Narendra Modi Stadium","Ahmedabad","Neutral"
"Sunrisers Hyderabad","Chennai Super Kings",171,173,"Sunrisers Hyderabad","Bat","Chennai Super Kings","7 wickets","Ruturaj Gaikwad","Arun Jaitley Stadium","Delhi","Neutral"
"Rajasthan Royals","Mumbai Indians",171,172,"Mumbai Indians","Field","Mumbai Indians","7 wickets","Quinton de Kock","Arun Jaitley Stadium","Delhi","Neutral"
"Kolkata Knight Riders","Delhi Capitals",154,156,"Delhi Capitals","Field","Delhi Capitals","7 wickets","Prithvi Shaw","Narendra Modi Stadium","Ahmedabad","Neutral"
"Punjab Kings","Royal Challengers Bangalore",179,145,"Royal Challengers Bangalore","Field","Punjab Kings","34 runs","Harpreet Brar","Narendra Modi Stadium","Ahmedabad","Neutral"
"Chennai Super Kings","Mumbai Indians",218,219,"Mumbai Indians","Field","Mumbai Indians","4 wickets","Kieron Pollard","Arun Jaitley Stadium","Delhi","Neutral"
"Rajasthan Royals","Sunrisers Hyderabad",220,165,"Sunrisers Hyderabad","Field","Rajasthan Royals","55 runs","Jos Buttler","Arun Jaitley Stadium","Delhi","Neutral"
"Punjab Kings","Delhi Capitals",166,167,"Delhi Capitals","Field","Delhi Capitals","7 wickets","Mayank Agarwal","Narendra Modi Stadium","Ahmedabad","Neutral"
"Chennai Super Kings","Mumbai Indians",156,136,"Chennai Super Kings","Bat","Chennai Super Kings","20 runs","Ruturaj Gaikwad","Dubai International Cricket Stadium","Dubai","Neutral"
"Royal Challengers Bangalore","Kolkata Knight Riders",92,94,"Royal Challengers Bangalore","Bat","Kolkata Knight Riders","9 wickets","Varun Chakravarthy","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Rajasthan Royals","Punjab Kings",185,183,"Punjab Kings","Field","Rajasthan Royals","2 runs","Kartik Tyagi","Dubai International Cricket Stadium","Dubai","Neutral"
"Sunrisers Hyderabad","Delhi Capitals",134,139,"Sunrisers Hyderabad","Bat","Delhi Capitals","8 wickets","Anrich Nortje","Dubai International Cricket Stadium","Dubai","Neutral"
"Mumbai Indians","Kolkata Knight Riders",155,159,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Sunil Narine","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Royal Challengers Bangalore","Chennai Super Kings",156,157,"Chennai Super Kings","Field","Chennai Super Kings","6 wickets","Dwayne Bravo","Sharjah Cricket Stadium","Sharjah","Neutral"
"Delhi Capitals","Rajasthan Royals",154,121,"Rajasthan Royals","Field","Delhi Capitals","33 runs","Shreyas Iyer","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Punjab Kings","Sunrisers Hyderabad",125,120,"Sunrisers Hyderabad","Field","Punjab Kings","5 runs","Jason Holder","Sharjah Cricket Stadium","Sharjah","Neutral"
"Kolkata Knight Riders","Chennai Super Kings",171,172,"Kolkata Knight Riders","Bat","Chennai Super Kings","2 wickets","Ravindra Jadeja","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Royal Challengers Bangalore","Mumbai Indians",165,111,"Mumbai Indians","Field","Royal Challengers Bangalore","54 runs","Glenn Maxwell","Dubai International Cricket Stadium","Dubai","Neutral"
"Rajasthan Royals","Sunrisers Hyderabad",164,167,"Rajasthan Royals","Bat","Sunrisers Hyderabad","7 wickets","Jason Roy","Dubai International Cricket Stadium","Dubai","Neutral"
"Delhi Capitals","Kolkata Knight Riders",127,130,"Kolkata Knight Riders","Field","Kolkata Knight Riders","3 wickets","Sunil Narine","Sharjah Cricket Stadium","Sharjah","Neutral"
"Punjab Kings","Mumbai Indians",135,137,"Mumbai Indians","Field","Mumbai Indians","6 wickets","Kieron Pollard","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Rajasthan Royals","Royal Challengers Bangalore",149,153,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","7 wickets","Yuzvendra Chahal","Dubai International Cricket Stadium","Dubai","Neutral"
"Sunrisers Hyderabad","Chennai Super Kings",134,139,"Chennai Super Kings","Field","Chennai Super Kings","6 wickets","Josh Hazlewood","Sharjah Cricket Stadium","Sharjah","Neutral"
"Kolkata Knight Riders","Punjab Kings",165,168,"Punjab Kings","Field","Punjab Kings","5 wickets","KL Rahul","Dubai International Cricket Stadium","Dubai","Neutral"
"Mumbai Indians","Delhi Capitals",129,132,"Delhi Capitals","Field","Delhi Capitals","4 wickets","Axar Patel","Sharjah Cricket Stadium","Sharjah","Neutral"
"Chennai Super Kings","Rajasthan Royals",189,190,"Rajasthan Royals","Field","Rajasthan Royals","7 wickets","Ruturaj Gaikwad","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Royal Challengers Bangalore","Punjab Kings",164,158,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","6 runs","Glenn Maxwell","Sharjah Cricket Stadium","Sharjah","Neutral"
"Sunrisers Hyderabad","Kolkata Knight Riders",115,119,"Sunrisers Hyderabad","Bat","Kolkata Knight Riders","6 wickets","Shubman Gill","Dubai International Cricket Stadium","Dubai","Neutral"
"Chennai Super Kings","Delhi Capitals",136,139,"Delhi Capitals","Field","Delhi Capitals","3 wickets","Axar Patel","Dubai International Cricket Stadium","Dubai","Neutral"
"Rajasthan Royals","Mumbai Indians",90,94,"Mumbai Indians","Field","Mumbai Indians","8 wickets","Nathan Coulter-Nile","Sharjah Cricket Stadium","Sharjah","Neutral"
"Sunrisers Hyderabad","Royal Challengers Bangalore",141,137,"Royal Challengers Bangalore","Field","Sunrisers Hyderabad","4 runs","Kane Williamson","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Chennai Super Kings","Punjab Kings",134,139,"Punjab Kings","Field","Punjab Kings","6 wickets","KL Rahul","Dubai International Cricket Stadium","Dubai","Neutral"
"Kolkata Knight Riders","Rajasthan Royals",171,85,"Rajasthan Royals","Field","Kolkata Knight Riders","86 runs","Shivam Mavi","Sharjah Cricket Stadium","Sharjah","Neutral"
"Delhi Capitals","Royal Challengers Bangalore",164,166,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","7 wickets","Srikar Bharat","Dubai International Cricket Stadium","Dubai","Neutral"
"Mumbai Indians","Sunrisers Hyderabad",235,193,"Mumbai Indians","Bat","Mumbai Indians","42 runs","Ishan Kishan","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Delhi Capitals","Chennai Super Kings",172,173,"Chennai Super Kings","Field","Chennai Super Kings","4 wickets","Ruturaj Gaikwad","Dubai International Cricket Stadium","Dubai","Neutral"
"Royal Challengers Bangalore","Kolkata Knight Riders",138,139,"Royal Challengers Bangalore","Bat","Kolkata Knight Riders","4 wickets","Sunil Narine","Sharjah Cricket Stadium","Sharjah","Neutral"
"Delhi Capitals","Kolkata Knight Riders",135,136,"Kolkata Knight Riders","Field","Kolkata Knight Riders","3 wickets","Venkatesh Iyer","Sharjah Cricket Stadium","Sharjah","Neutral"
"Chennai Super Kings","Kolkata Knight Riders",192,165,"Kolkata Knight Riders","Field","Chennai Super Kings","27 runs","Faf du Plessis","Dubai International Cricket Stadium","Dubai","Neutral"
"Mumbai Indians","Chennai Super Kings",162,166,"Chennai Super Kings","Field","Chennai Super Kings","5 wickets","Ambati Rayudu","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Delhi Capitals","Punjab Kings",157,157,"Punjab Kings","Field","Tied","Tied","Marcus Stoinis","Dubai International Cricket Stadium","Dubai","Neutral"
"Royal Challengers Bangalore","Sunrisers Hyderabad",163,153,"Sunrisers Hyderabad","Field","Royal Challengers Bangalore","10 runs","Yuzvendra Chahal","Dubai International Cricket Stadium","Dubai","Neutral"
"Rajasthan Royals","Chennai Super Kings",216,200,"Chennai Super Kings","Field","Rajasthan Royals","16 runs","Sanju Samson","Sharjah Cricket Stadium","Sharjah","Neutral"
"Mumbai Indians","Kolkata Knight Riders",195,146,"Kolkata Knight Riders","Field","Mumbai Indians","49 runs","Rohit Sharma","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Punjab Kings","Royal Challengers Bangalore",206,109,"Royal Challengers Bangalore","Field","Punjab Kings","97 runs","KL Rahul","Dubai International Cricket Stadium","Dubai","Neutral"
"Delhi Capitals","Chennai Super Kings",175,131,"Chennai Super Kings","Field","Delhi Capitals","44 runs","Prithvi Shaw","Dubai International Cricket Stadium","Dubai","Neutral"
"Sunrisers Hyderabad","Kolkata Knight Riders",142,145,"Sunrisers Hyderabad","Bat","Kolkata Knight Riders","7 wickets","Shubman Gill","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Punjab Kings","Rajasthan Royals",223,226,"Rajasthan Royals","Field","Rajasthan Royals","4 wickets","Sanju Samson","Sharjah Cricket Stadium","Sharjah","Neutral"
"Royal Challengers Bangalore","Mumbai Indians",201,201,"Mumbai Indians","Field","Tied","Tied","AB de Villiers","Dubai International Cricket Stadium","Dubai","Neutral"
"Sunrisers Hyderabad","Delhi Capitals",162,147,"Delhi Capitals","Field","Sunrisers Hyderabad","15 runs","Rashid Khan","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Kolkata Knight Riders","Rajasthan Royals",174,137,"Rajasthan Royals","Field","Kolkata Knight Riders","37 runs","Shivam Mavi","Dubai International Cricket Stadium","Dubai","Neutral"
"Mumbai Indians","Punjab Kings",191,143,"Punjab Kings","Field","Mumbai Indians","48 runs","Kieron Pollard","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Sunrisers Hyderabad","Chennai Super Kings",164,157,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","7 runs","Priyam Garg","Dubai International Cricket Stadium","Dubai","Neutral"
"Rajasthan Royals","Royal Challengers Bangalore",154,158,"Rajasthan Royals","Bat","Royal Challengers Bangalore","8 wickets","Yuzvendra Chahal","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Delhi Capitals","Kolkata Knight Riders",228,210,"Kolkata Knight Riders","Field","Delhi Capitals","18 runs","Shreyas Iyer","Sharjah Cricket Stadium","Sharjah","Neutral"
"Mumbai Indians","Sunrisers Hyderabad",208,174,"Mumbai Indians","Bat","Mumbai Indians","34 runs","Trent Boult","Sharjah Cricket Stadium","Sharjah","Neutral"
"Punjab Kings","Chennai Super Kings",178,181,"Punjab Kings","Bat","Chennai Super Kings","10 wickets","Shane Watson","Dubai International Cricket Stadium","Dubai","Neutral"
"Delhi Capitals","Royal Challengers Bangalore",196,137,"Royal Challengers Bangalore","Field","Delhi Capitals","59 runs","Axar Patel","Dubai International Cricket Stadium","Dubai","Neutral"
